client_id,age,sex,city_type,education_level,household_size,residence_type,marital_status,dependents_count
72,58,F,urban,technical,2,rented,pre_mature,1
73,31,F,urban,university,5,rented,young_family,4
74,26,F,urban,secondary,1,family,young_family,0
75,49,M,rural,secondary,3,owned,senior_family,2
76,35,M,urban,secondary,3,owned,mid_family,2
77,56,M,urban,primary,4,rented,pre_mature,3
78,68,F,urban,technical,6,rented,mature,5
79,58,F,urban,primary,3,rented,pre_mature,2
80,58,M,urban,secondary,7,owned,pre_mature,6
81,54,F,urban,university,4,owned,senior_family,3
82,31,M,urban,secondary,3,owned,young_family,2
83,43,M,urban,secondary,7,rented,mid_family,6
84,73,F,rural,secondary,2,owned,mature,1
85,48,F,urban,secondary,4,rented,senior_family,3
86,51,F,rural,secondary,7,family,senior_family,6
87,53,M,urban,primary,4,rented,senior_family,3
88,49,M,rural,primary,5,rented,senior_family,4
89,24,M,urban,university,1,owned,single,0
90,51,M,urban,primary,2,rented,senior_family,1
91,27,F,urban,primary,2,rented,young_family,1
92,59,F,rural,primary,2,rented,pre_mature,1
93,69,M,urban,technical,5,rented,mature,4
94,33,M,urban,secondary,3,rented,young_family,2
95,34,F,rural,primary,7,other,young_family,6
96,19,F,urban,secondary,5,owned,single,4
97,36,M,urban,secondary,1,rented,mid_family,0
98,55,F,urban,secondary,4,owned,pre_mature,3
99,27,M,urban,secondary,5,family,young_family,4
100,45,F,urban,university,3,owned,senior_family,2
101,63,F,urban,primary,4,owned,pre_mature,3
102,64,F,urban,primary,2,other,pre_mature,1
103,19,M,urban,none,3,owned,single,2
104,70,M,rural,university,1,other,mature,0
105,66,F,urban,primary,5,rented,mature,4
106,52,M,urban,primary,3,rented,senior_family,2
107,63,M,urban,university,5,rented,pre_mature,4
108,51,M,urban,university,4,family,senior_family,3
109,41,F,urban,technical,3,rented,mid_family,2
110,54,M,urban,secondary,7,rented,senior_family,6
111,68,M,rural,primary,6,rented,mature,5
112,22,M,rural,primary,4,owned,single,3
113,59,M,urban,secondary,7,rented,pre_mature,6
114,38,F,urban,secondary,3,family,mid_family,2
115,66,F,urban,secondary,3,rented,mature,2
116,55,M,urban,technical,2,rented,pre_mature,1
117,23,M,urban,secondary,2,other,single,1
118,48,F,urban,technical,1,owned,senior_family,0
119,65,F,urban,secondary,6,other,mature,5
120,62,F,urban,secondary,7,rented,pre_mature,6
121,57,M,urban,technical,5,rented,pre_mature,4
122,24,M,urban,secondary,2,rented,single,1
123,74,M,urban,secondary,5,rented,mature,4
124,54,M,urban,primary,6,family,senior_family,5
125,64,M,urban,university,7,family,pre_mature,6
126,65,M,urban,secondary,2,rented,mature,1
127,74,F,urban,secondary,5,owned,mature,4
128,55,M,urban,secondary,1,family,pre_mature,0
129,49,M,urban,technical,4,owned,senior_family,3
130,22,M,urban,secondary,4,rented,single,3
131,25,F,urban,primary,2,family,young_family,1
132,55,F,urban,secondary,6,family,pre_mature,5
133,70,M,urban,secondary,7,owned,mature,6
134,66,F,rural,primary,3,rented,mature,2
135,66,M,urban,secondary,6,owned,mature,5
136,26,F,rural,university,5,rented,young_family,4
137,43,F,urban,secondary,1,owned,mid_family,0
138,53,F,urban,secondary,4,owned,senior_family,3
139,53,M,urban,primary,3,family,senior_family,2
140,45,F,urban,technical,6,owned,senior_family,5
141,71,F,urban,primary,3,rented,mature,2
142,30,M,urban,secondary,3,rented,young_family,2
143,65,F,urban,university,6,rented,mature,5
144,43,F,urban,secondary,1,owned,mid_family,0
145,54,F,urban,primary,5,rented,senior_family,4
146,42,F,urban,university,1,rented,mid_family,0
147,38,F,urban,primary,1,owned,mid_family,0
148,50,F,rural,secondary,1,family,senior_family,0
149,48,F,urban,none,1,rented,senior_family,0
150,60,F,urban,secondary,3,owned,pre_mature,2
151,22,M,urban,primary,5,family,single,4
152,23,M,urban,secondary,6,owned,single,5
153,39,M,urban,secondary,3,rented,mid_family,2
154,29,F,urban,technical,7,owned,young_family,6
155,58,M,urban,university,5,owned,pre_mature,4
156,54,M,urban,university,2,family,senior_family,1
157,26,M,urban,technical,7,owned,young_family,6
158,25,F,urban,secondary,5,owned,young_family,4
159,66,F,urban,none,1,owned,mature,0
160,55,M,urban,secondary,6,rented,pre_mature,5
161,68,F,urban,secondary,1,owned,mature,0
162,55,F,rural,primary,2,rented,pre_mature,1
163,41,M,urban,none,6,rented,mid_family,5
164,37,M,urban,secondary,4,rented,mid_family,3
165,65,M,rural,university,4,owned,mature,3
166,74,M,urban,secondary,5,rented,mature,4
167,42,M,urban,secondary,2,rented,mid_family,1
168,45,M,urban,secondary,7,owned,senior_family,6
169,40,F,urban,university,1,rented,mid_family,0
170,72,M,urban,university,7,rented,mature,6
171,24,M,urban,university,2,rented,single,1
172,28,M,urban,university,6,owned,young_family,5
173,64,M,urban,secondary,7,owned,pre_mature,6
174,71,M,urban,secondary,2,rented,mature,1
175,33,M,urban,primary,2,family,young_family,1
176,50,M,urban,university,4,owned,senior_family,3
177,34,M,urban,secondary,4,owned,young_family,3
178,74,F,urban,technical,5,rented,mature,4
179,21,F,rural,secondary,7,owned,single,6
180,52,M,urban,none,7,rented,senior_family,6
181,51,M,urban,technical,3,owned,senior_family,2
182,71,M,urban,technical,7,family,mature,6
183,50,M,urban,university,4,owned,senior_family,3
184,37,M,urban,university,5,owned,mid_family,4
185,46,M,urban,primary,6,family,senior_family,5
186,54,F,rural,university,1,rented,senior_family,0
187,66,F,rural,university,3,rented,mature,2
188,19,F,urban,secondary,4,owned,single,3
189,58,F,urban,primary,1,family,pre_mature,0
190,51,F,urban,university,7,rented,senior_family,6
191,29,M,rural,technical,5,rented,young_family,4
192,39,M,urban,primary,6,owned,mid_family,5
193,49,F,urban,technical,4,family,senior_family,3
194,64,F,urban,secondary,2,owned,pre_mature,1
195,65,F,urban,university,7,family,mature,6
196,46,M,urban,primary,4,rented,senior_family,3
197,57,F,urban,secondary,6,owned,pre_mature,5
198,47,F,rural,university,5,owned,senior_family,4
199,56,M,urban,secondary,6,rented,pre_mature,5
200,74,M,urban,secondary,3,other,mature,2
201,22,F,urban,primary,1,family,single,0
202,68,F,urban,technical,1,rented,mature,0
203,28,F,urban,secondary,6,other,young_family,5
204,71,F,rural,technical,1,owned,mature,0
205,41,F,rural,secondary,4,rented,mid_family,3
206,27,M,rural,secondary,6,rented,young_family,5
207,20,M,urban,primary,7,owned,single,6
208,68,F,urban,university,5,family,mature,4
209,59,M,urban,technical,6,owned,pre_mature,5
210,42,F,urban,university,5,owned,mid_family,4
211,71,M,urban,secondary,1,rented,mature,0
212,66,M,rural,technical,6,owned,mature,5
213,28,M,urban,primary,5,rented,young_family,4
214,46,F,urban,secondary,3,rented,senior_family,2
215,54,F,urban,primary,2,owned,senior_family,1
216,56,M,urban,primary,5,rented,pre_mature,4
217,46,M,rural,primary,6,rented,senior_family,5
218,32,M,urban,secondary,6,other,young_family,5
219,31,F,rural,primary,4,family,young_family,3
220,29,M,rural,secondary,7,family,young_family,6
221,45,M,urban,university,2,family,senior_family,1
222,49,M,urban,primary,7,rented,senior_family,6
223,71,M,urban,primary,5,owned,mature,4
224,26,M,rural,technical,4,owned,young_family,3
225,45,F,rural,primary,7,rented,senior_family,6
226,53,F,urban,secondary,6,rented,senior_family,5
227,42,M,urban,secondary,3,owned,mid_family,2
228,19,M,rural,university,6,rented,single,5
229,56,M,urban,secondary,3,owned,pre_mature,2
230,29,M,urban,university,2,owned,young_family,1
231,60,M,rural,primary,5,owned,pre_mature,4
232,33,M,urban,primary,3,family,young_family,2
233,56,M,urban,secondary,6,rented,pre_mature,5
234,27,M,rural,technical,3,owned,young_family,2
235,53,M,urban,secondary,4,family,senior_family,3
236,24,F,rural,primary,6,family,single,5
237,34,F,urban,technical,3,owned,young_family,2
238,61,M,urban,technical,2,rented,pre_mature,1
239,33,M,urban,secondary,1,family,young_family,0
240,41,M,urban,university,4,rented,mid_family,3
241,42,M,urban,university,6,owned,mid_family,5
242,32,F,urban,secondary,2,family,young_family,1
243,50,M,urban,primary,3,rented,senior_family,2
244,35,F,rural,technical,5,owned,mid_family,4
245,48,M,urban,university,6,owned,senior_family,5
246,63,M,urban,secondary,4,rented,pre_mature,3
247,60,F,urban,primary,3,rented,pre_mature,2
248,30,F,urban,secondary,7,other,young_family,6
249,57,F,rural,secondary,5,rented,pre_mature,4
250,61,M,urban,secondary,3,rented,pre_mature,2
251,49,F,urban,university,1,owned,senior_family,0
252,59,M,urban,technical,7,family,pre_mature,6
253,41,F,rural,university,5,rented,mid_family,4
254,21,M,urban,primary,6,owned,single,5
255,50,F,urban,primary,4,rented,senior_family,3
256,69,F,urban,none,5,family,mature,4
257,45,M,urban,technical,1,family,senior_family,0
258,50,M,rural,technical,5,owned,senior_family,4
259,56,F,urban,secondary,7,other,pre_mature,6
260,65,M,urban,secondary,3,family,mature,2
261,46,M,urban,secondary,2,owned,senior_family,1
262,36,F,urban,primary,7,owned,mid_family,6
263,53,F,urban,secondary,4,rented,senior_family,3
264,57,F,urban,technical,5,rented,pre_mature,4
265,56,F,urban,secondary,6,rented,pre_mature,5
266,52,F,urban,primary,4,owned,senior_family,3
267,74,F,urban,secondary,4,owned,mature,3
268,33,F,urban,primary,5,rented,young_family,4
269,36,M,rural,primary,5,owned,mid_family,4
270,66,M,urban,secondary,1,family,mature,0
271,28,F,rural,secondary,2,family,young_family,1
272,64,F,urban,primary,5,rented,pre_mature,4
273,32,M,urban,secondary,5,owned,young_family,4
274,56,M,urban,technical,4,family,pre_mature,3
275,66,F,urban,technical,3,rented,mature,2
276,67,M,urban,primary,4,rented,mature,3
277,52,F,urban,technical,7,family,senior_family,6
278,30,F,rural,technical,3,family,young_family,2
279,37,M,urban,secondary,5,owned,mid_family,4
280,58,F,urban,technical,5,family,pre_mature,4
281,54,F,urban,primary,3,family,senior_family,2
282,34,M,urban,technical,7,other,young_family,6
283,50,M,urban,technical,5,rented,senior_family,4
284,71,M,urban,secondary,3,owned,mature,2
285,21,F,urban,secondary,5,family,single,4
286,50,M,urban,secondary,4,rented,senior_family,3
287,49,F,urban,primary,6,rented,senior_family,5
288,66,F,urban,secondary,5,rented,mature,4
289,32,F,urban,technical,7,rented,young_family,6
290,28,M,rural,secondary,4,rented,young_family,3
291,43,F,urban,primary,2,rented,mid_family,1
292,36,F,rural,secondary,7,family,mid_family,6
293,68,F,urban,secondary,6,owned,mature,5
294,61,F,rural,secondary,1,owned,pre_mature,0
295,40,M,urban,secondary,3,rented,mid_family,2
296,38,M,urban,technical,4,rented,mid_family,3
297,18,M,urban,primary,2,rented,single,1
298,23,F,rural,secondary,3,owned,single,2
299,49,F,urban,secondary,2,owned,senior_family,1
300,55,M,urban,primary,6,owned,pre_mature,5
301,63,M,urban,primary,6,rented,pre_mature,5
302,24,M,urban,technical,2,family,single,1
303,27,F,rural,university,1,owned,young_family,0
304,49,F,rural,secondary,1,family,senior_family,0
305,23,F,urban,university,3,other,single,2
306,65,F,rural,primary,2,owned,mature,1
307,43,M,urban,primary,5,rented,mid_family,4
308,51,M,urban,technical,6,rented,senior_family,5
309,62,F,urban,primary,2,rented,pre_mature,1
310,46,M,urban,secondary,7,rented,senior_family,6
311,22,F,urban,secondary,4,owned,single,3
312,31,M,urban,secondary,3,rented,young_family,2
313,37,M,urban,university,4,owned,mid_family,3
314,27,M,rural,secondary,7,other,young_family,6
315,47,M,urban,primary,5,rented,senior_family,4
316,19,F,urban,secondary,1,other,single,0
317,26,F,urban,university,5,rented,young_family,4
318,63,M,urban,primary,6,owned,pre_mature,5
319,25,F,urban,technical,4,family,young_family,3
320,19,M,urban,secondary,1,rented,single,0
321,43,M,rural,primary,6,family,mid_family,5
322,66,M,urban,university,1,rented,mature,0
323,31,F,urban,none,3,rented,young_family,2
324,40,F,urban,university,7,rented,mid_family,6
325,61,F,urban,primary,5,rented,pre_mature,4
326,69,F,urban,technical,5,rented,mature,4
327,35,M,rural,none,2,rented,mid_family,1
328,26,F,urban,university,6,rented,young_family,5
329,32,M,urban,technical,7,rented,young_family,6
330,64,F,urban,none,3,rented,pre_mature,2
331,37,F,urban,technical,2,rented,mid_family,1
332,67,M,rural,technical,6,owned,mature,5
333,46,F,urban,secondary,3,rented,senior_family,2
334,41,M,urban,university,5,rented,mid_family,4
335,59,M,rural,university,4,rented,pre_mature,3
336,74,F,urban,secondary,1,family,mature,0
337,60,M,rural,none,7,owned,pre_mature,6
338,30,F,urban,technical,7,owned,young_family,6
339,36,F,rural,secondary,3,rented,mid_family,2
340,24,F,rural,secondary,1,family,single,0
341,51,M,urban,secondary,5,owned,senior_family,4
342,73,F,urban,secondary,6,owned,mature,5
343,35,F,rural,secondary,2,rented,mid_family,1
344,32,M,rural,primary,7,owned,young_family,6
345,70,M,urban,primary,1,owned,mature,0
346,19,F,urban,primary,6,rented,single,5
347,30,M,urban,primary,5,rented,young_family,4
348,40,M,urban,primary,3,rented,mid_family,2
349,71,M,rural,university,5,owned,mature,4
350,74,M,urban,technical,5,owned,mature,4
351,68,M,rural,secondary,5,rented,mature,4
352,65,F,urban,secondary,1,rented,mature,0
353,19,M,urban,university,1,other,single,0
354,23,F,urban,secondary,4,owned,single,3
355,68,F,urban,university,4,rented,mature,3
356,38,M,urban,secondary,3,owned,mid_family,2
357,27,M,urban,secondary,2,rented,young_family,1
358,48,M,urban,primary,2,family,senior_family,1
359,70,F,urban,technical,6,owned,mature,5
360,63,M,urban,primary,6,owned,pre_mature,5
361,41,F,urban,secondary,7,owned,mid_family,6
362,28,F,urban,university,4,owned,young_family,3
363,61,F,urban,primary,6,rented,pre_mature,5
364,23,F,urban,primary,7,family,single,6
365,24,M,rural,secondary,6,owned,single,5
366,59,M,urban,primary,6,rented,pre_mature,5
367,28,M,urban,secondary,3,rented,young_family,2
368,19,M,rural,technical,3,rented,single,2
369,74,M,urban,secondary,4,owned,mature,3
370,47,M,urban,secondary,2,family,senior_family,1
371,62,M,urban,secondary,6,family,pre_mature,5
372,58,M,urban,secondary,3,owned,pre_mature,2
373,64,M,urban,university,2,owned,pre_mature,1
374,56,M,urban,primary,2,owned,pre_mature,1
375,58,M,urban,technical,1,family,pre_mature,0
376,47,F,urban,technical,7,owned,senior_family,6
377,27,F,urban,secondary,5,rented,young_family,4
378,62,F,rural,technical,2,owned,pre_mature,1
379,45,F,urban,none,7,owned,senior_family,6
380,51,M,urban,secondary,7,rented,senior_family,6
381,35,M,urban,university,5,owned,mid_family,4
382,64,M,rural,technical,1,family,pre_mature,0
383,61,M,urban,university,3,rented,pre_mature,2
384,51,M,urban,technical,2,rented,senior_family,1
385,28,F,rural,primary,4,rented,young_family,3
386,42,M,urban,university,3,owned,mid_family,2
387,32,F,urban,secondary,4,family,young_family,3
388,52,M,rural,university,1,family,senior_family,0
389,21,F,urban,secondary,4,rented,single,3
390,42,M,urban,technical,6,rented,mid_family,5
391,73,F,rural,primary,6,rented,mature,5
392,29,M,rural,secondary,1,owned,young_family,0
393,46,F,urban,none,5,rented,senior_family,4
394,44,M,rural,technical,7,family,mid_family,6
395,67,F,urban,secondary,1,rented,mature,0
396,72,F,rural,primary,2,owned,mature,1
397,65,F,rural,primary,3,owned,mature,2
398,51,M,urban,secondary,1,rented,senior_family,0
399,41,M,urban,university,4,owned,mid_family,3
400,59,M,urban,none,5,family,pre_mature,4
401,20,M,urban,secondary,3,rented,single,2
402,55,M,urban,technical,1,family,pre_mature,0
403,35,F,urban,secondary,5,family,mid_family,4
404,44,M,urban,secondary,5,rented,mid_family,4
405,55,M,urban,secondary,5,other,pre_mature,4
406,41,M,urban,none,4,rented,mid_family,3
407,34,F,urban,none,7,owned,young_family,6
408,29,M,urban,technical,3,family,young_family,2
409,40,F,urban,technical,3,rented,mid_family,2
410,18,M,urban,primary,6,owned,single,5
411,67,F,urban,university,1,owned,mature,0
412,67,F,urban,primary,6,owned,mature,5
413,56,F,urban,technical,3,rented,pre_mature,2
414,33,M,urban,secondary,1,rented,young_family,0
415,61,F,urban,secondary,3,rented,pre_mature,2
416,51,M,urban,secondary,4,owned,senior_family,3
417,33,F,rural,none,3,other,young_family,2
418,44,F,rural,university,7,rented,mid_family,6
419,22,M,rural,technical,5,owned,single,4
420,24,F,rural,primary,4,rented,single,3
421,39,M,urban,technical,7,rented,mid_family,6
422,20,F,urban,secondary,5,owned,single,4
423,67,M,urban,primary,4,rented,mature,3
424,71,F,rural,primary,4,owned,mature,3
425,36,F,urban,primary,7,owned,mid_family,6
426,38,M,urban,primary,2,owned,mid_family,1
427,61,M,urban,secondary,7,owned,pre_mature,6
428,35,M,urban,technical,5,rented,mid_family,4
429,62,M,urban,secondary,3,owned,pre_mature,2
430,22,M,urban,secondary,1,owned,single,0
431,48,F,urban,technical,4,other,senior_family,3
432,18,F,rural,university,7,owned,single,6
433,59,M,urban,secondary,5,owned,pre_mature,4
434,59,F,rural,secondary,3,owned,pre_mature,2
435,44,M,urban,primary,4,rented,mid_family,3
436,68,F,urban,primary,2,family,mature,1
437,55,F,rural,secondary,1,owned,pre_mature,0
438,32,M,rural,university,5,rented,young_family,4
439,51,M,urban,university,1,rented,senior_family,0
440,43,M,urban,secondary,5,other,mid_family,4
441,57,M,urban,primary,1,owned,pre_mature,0
442,53,F,urban,university,7,rented,senior_family,6
443,62,M,urban,secondary,5,family,pre_mature,4
444,27,F,urban,secondary,4,owned,young_family,3
445,19,F,urban,primary,1,family,single,0
446,39,F,urban,secondary,1,rented,mid_family,0
447,22,M,urban,primary,1,rented,single,0
448,45,F,rural,technical,2,rented,senior_family,1
449,38,M,urban,technical,2,rented,mid_family,1
450,54,M,urban,primary,2,owned,senior_family,1
451,56,F,urban,secondary,2,owned,pre_mature,1
452,73,M,rural,secondary,2,family,mature,1
453,18,F,urban,secondary,7,rented,single,6
454,46,M,urban,technical,1,family,senior_family,0
455,63,M,urban,primary,5,rented,pre_mature,4
456,32,F,rural,technical,1,rented,young_family,0
457,67,F,urban,university,6,other,mature,5
458,55,F,urban,secondary,2,owned,pre_mature,1
459,46,F,urban,secondary,7,other,senior_family,6
460,24,F,urban,technical,1,owned,single,0
461,50,M,urban,secondary,5,rented,senior_family,4
462,18,F,urban,primary,7,owned,single,6
463,35,F,urban,primary,5,rented,mid_family,4
464,39,M,urban,technical,5,rented,mid_family,4
465,22,F,rural,secondary,1,family,single,0
466,21,M,urban,university,5,owned,single,4
467,68,F,urban,technical,2,rented,mature,1
468,45,F,urban,primary,5,owned,senior_family,4
469,23,M,urban,technical,7,owned,single,6
470,36,M,urban,university,3,family,mid_family,2
471,51,F,urban,technical,1,owned,senior_family,0
472,68,F,urban,technical,2,owned,mature,1
473,43,M,urban,primary,7,rented,mid_family,6
474,28,F,urban,primary,3,owned,young_family,2
475,45,M,rural,secondary,3,rented,senior_family,2
476,57,M,urban,primary,3,owned,pre_mature,2
477,25,M,rural,primary,3,owned,young_family,2
478,53,F,urban,primary,1,other,senior_family,0
479,37,M,urban,secondary,7,rented,mid_family,6
480,74,M,rural,primary,5,rented,mature,4
481,42,M,rural,university,3,family,mid_family,2
482,50,M,urban,university,2,owned,senior_family,1
483,58,F,urban,technical,6,rented,pre_mature,5
484,64,F,rural,secondary,3,rented,pre_mature,2
485,21,F,rural,secondary,2,family,single,1
486,38,F,urban,primary,3,rented,mid_family,2
487,18,M,urban,primary,6,rented,single,5
488,22,F,rural,secondary,7,rented,single,6
489,45,M,urban,primary,1,owned,senior_family,0
490,41,M,urban,secondary,4,rented,mid_family,3
491,59,M,urban,primary,6,rented,pre_mature,5
492,56,M,urban,technical,7,family,pre_mature,6
493,70,F,urban,university,2,rented,mature,1
494,32,M,urban,primary,4,owned,young_family,3
495,49,M,rural,secondary,4,rented,senior_family,3
496,25,F,urban,technical,6,other,young_family,5
497,42,F,urban,secondary,6,rented,mid_family,5
498,23,M,urban,technical,3,owned,single,2
499,70,M,urban,primary,5,rented,mature,4
500,48,F,urban,secondary,4,rented,senior_family,3
501,22,F,urban,technical,5,owned,single,4
502,37,M,rural,technical,6,owned,mid_family,5
503,61,F,urban,secondary,2,family,pre_mature,1
504,61,F,urban,secondary,2,rented,pre_mature,1
505,60,F,rural,primary,2,rented,pre_mature,1
506,54,M,urban,primary,2,owned,senior_family,1
507,74,F,urban,technical,3,rented,mature,2
508,71,F,urban,technical,2,owned,mature,1
509,40,M,rural,university,5,owned,mid_family,4
510,73,F,rural,technical,3,owned,mature,2
511,57,F,urban,university,2,owned,pre_mature,1
512,18,M,urban,primary,1,rented,single,0
513,60,F,urban,primary,7,rented,pre_mature,6
514,31,F,urban,secondary,1,rented,young_family,0
515,66,M,urban,university,5,owned,mature,4
516,31,F,urban,university,7,owned,young_family,6
517,45,M,urban,none,5,rented,senior_family,4
518,68,M,urban,university,5,family,mature,4
519,62,M,urban,primary,6,owned,pre_mature,5
520,25,M,urban,university,5,owned,young_family,4
521,73,M,urban,secondary,6,rented,mature,5
522,41,M,rural,secondary,7,rented,mid_family,6
523,48,M,rural,secondary,5,rented,senior_family,4
524,21,F,urban,technical,6,rented,single,5
525,19,M,urban,primary,6,other,single,5
526,45,M,urban,secondary,3,owned,senior_family,2
527,38,M,rural,secondary,1,rented,mid_family,0
528,20,F,rural,primary,2,rented,single,1
529,22,M,rural,secondary,6,rented,single,5
530,59,F,rural,secondary,5,owned,pre_mature,4
531,51,M,rural,secondary,3,other,senior_family,2
532,47,F,urban,technical,4,rented,senior_family,3
533,50,F,urban,secondary,1,owned,senior_family,0
534,74,F,rural,secondary,5,other,mature,4
535,44,F,rural,secondary,4,rented,mid_family,3
536,74,M,urban,university,1,other,mature,0
537,35,M,urban,primary,3,owned,mid_family,2
538,62,M,urban,university,7,rented,pre_mature,6
539,53,F,urban,technical,3,owned,senior_family,2
540,34,F,urban,primary,3,family,young_family,2
541,24,M,rural,none,6,rented,single,5
542,24,F,urban,university,1,rented,single,0
543,55,F,rural,primary,3,family,pre_mature,2
544,26,F,urban,primary,3,rented,young_family,2
545,53,F,urban,technical,7,owned,senior_family,6
546,57,M,urban,secondary,2,owned,pre_mature,1
547,60,F,urban,secondary,6,rented,pre_mature,5
548,25,M,urban,primary,2,owned,young_family,1
549,25,F,rural,university,5,rented,young_family,4
550,34,M,urban,university,3,rented,young_family,2
551,45,M,rural,primary,5,rented,senior_family,4
552,23,F,rural,university,7,rented,single,6
553,45,F,urban,secondary,7,rented,senior_family,6
554,20,F,rural,university,3,owned,single,2
555,25,F,rural,secondary,7,family,young_family,6
556,40,M,rural,secondary,1,family,mid_family,0
557,50,M,urban,primary,4,owned,senior_family,3
558,41,M,urban,primary,1,rented,mid_family,0
559,58,M,urban,primary,6,rented,pre_mature,5
560,28,F,rural,secondary,1,family,young_family,0
561,23,M,urban,technical,6,family,single,5
562,70,M,rural,secondary,7,family,mature,6
563,42,M,rural,secondary,2,owned,mid_family,1
564,52,F,urban,secondary,7,family,senior_family,6
565,58,F,rural,secondary,1,owned,pre_mature,0
566,34,M,urban,primary,7,family,young_family,6
567,21,M,rural,university,5,rented,single,4
568,65,M,urban,secondary,7,family,mature,6
569,56,F,rural,primary,7,family,pre_mature,6
570,49,F,rural,primary,6,owned,senior_family,5
571,67,M,rural,university,6,rented,mature,5
572,43,M,rural,primary,6,rented,mid_family,5
573,20,F,urban,secondary,5,owned,single,4
574,60,M,urban,secondary,2,family,pre_mature,1
575,63,F,rural,secondary,1,owned,pre_mature,0
576,38,F,urban,primary,5,family,mid_family,4
577,29,F,urban,university,6,rented,young_family,5
578,63,F,urban,primary,4,owned,pre_mature,3
579,21,F,urban,technical,6,rented,single,5
580,18,F,urban,technical,2,rented,single,1
581,65,M,urban,secondary,1,owned,mature,0
582,32,F,urban,university,6,owned,young_family,5
583,62,F,urban,primary,5,owned,pre_mature,4
584,48,F,urban,technical,5,rented,senior_family,4
585,71,M,urban,university,7,owned,mature,6
586,65,F,urban,primary,2,owned,mature,1
587,45,M,urban,technical,1,owned,senior_family,0
588,60,M,urban,primary,7,family,pre_mature,6
589,27,F,urban,primary,2,owned,young_family,1
590,71,F,rural,technical,1,rented,mature,0
591,70,M,urban,secondary,3,rented,mature,2
592,32,M,rural,secondary,6,owned,young_family,5
593,47,M,urban,secondary,4,family,senior_family,3
594,70,F,urban,university,5,family,mature,4
595,36,M,urban,technical,7,rented,mid_family,6
596,24,F,urban,primary,3,rented,single,2
597,73,F,rural,primary,1,family,mature,0
598,29,F,rural,none,2,family,young_family,1
599,26,M,rural,secondary,4,family,young_family,3
